iter	RMSE
0	14.57585796
1	14.20163526
2	13.81601131
3	13.46150292
4	13.1289545
5	12.86741184
6	12.56470738
7	12.28577055
8	12.02228191
9	11.73619479
10	11.45849821
11	11.22055855
12	10.97675707
13	10.74315734
14	10.5143401
15	10.31173664
16	10.09532702
17	9.878876352
18	9.671434454
19	9.477206432
20	9.327563783
21	9.162581945
22	9.005926234
23	8.842526058
24	8.691899694
25	8.544877143
26	8.403085927
27	8.284643905
28	8.149692603
29	8.033677456
30	7.937487522
31	7.812491417
32	7.701191082
33	7.606428007
34	7.500747421
35	7.409164588
36	7.315908846
37	7.229546606
38	7.148632051
39	7.070644314
40	6.997492401
41	6.927518839
42	6.856490691
43	6.796189566
44	6.735853527
45	6.675023251
46	6.61314003
47	6.558441022
48	6.50166948
49	6.450830058
50	6.402405402
51	6.353905639
52	6.310679431
53	6.266273544
54	6.224967288
55	6.182568062
56	6.144788899
57	6.111772631
58	6.079931103
59	6.047270965
60	6.009997007
61	5.980223022
62	5.951373341
63	5.922313972
64	5.893730298
65	5.864455059
66	5.836230753
67	5.810594537
68	5.78930691
69	5.76621946
70	5.743256705
71	5.721121601
72	5.705242931
73	5.683972765
74	5.666659522
75	5.644545363
76	5.627272884
77	5.612698136
78	5.594541431
79	5.577687906
80	5.563080985
81	5.548899917
82	5.532079921
83	5.520929433
84	5.504708745
85	5.491038748
86	5.477846425
87	5.46774034
88	5.452995467
89	5.437719901
90	5.425445272
91	5.416481163
92	5.401844258
93	5.394122806
94	5.385627118
95	5.375763023
96	5.36773405
97	5.353792501
98	5.342002532
99	5.332675409
100	5.323843864
101	5.31455353
102	5.307164034
103	5.296811809
104	5.286973486
105	5.27671741
106	5.268610219
107	5.262174907
108	5.257035659
109	5.248508714
110	5.246918929
111	5.239617876
112	5.230378241
113	5.224202766
114	5.220455301
115	5.214027611
116	5.206141662
117	5.201335786
118	5.198288455
119	5.188964366
120	5.183207869
121	5.179920883
122	5.17292795
123	5.166756027
124	5.161595668
125	5.155038331
126	5.152082636
127	5.14766615
128	5.142661319
129	5.137753976
130	5.132349617
131	5.125060973
132	5.118414775
133	5.109719169
134	5.106355235
135	5.101555973
136	5.098140843
137	5.091810189
138	5.086021487
139	5.081029525
140	5.072334385
141	5.069047362
142	5.06174663
143	5.057775505
144	5.051711199
145	5.048190235
146	5.043206046
147	5.040763337
148	5.03291791
149	5.030984227
150	5.026451732
151	5.02252242
152	5.017657049
153	5.012365856
154	5.007080971
155	5.000098792
156	4.996982841
157	4.993700582
158	4.990059465
159	4.982477259
160	4.977401122
161	4.974678435
162	4.971555257
163	4.968686001
164	4.964151711
165	4.961204466
166	4.955303611
167	4.951800406
168	4.948873214
169	4.94388759
170	4.939777593
171	4.937310885
172	4.93215413
173	4.92635407
174	4.92309538
175	4.91804865
176	4.91316898
177	4.907681396
178	4.90321059
179	4.898039913
180	4.894728843
181	4.891366754
182	4.887255082
183	4.883966194
184	4.878951457
185	4.876573368
186	4.87284037
187	4.867810723
188	4.863191135
189	4.856932164
190	4.852330644
191	4.847763966
192	4.843644601
193	4.837815573
194	4.834109818
195	4.830925761
196	4.826756586
197	4.822311131
198	4.817193267
199	4.814152672
200	4.81047638
201	4.804397126
202	4.803024989
203	4.798849112
204	4.795828462
205	4.793124851
206	4.787923956
207	4.785897025
208	4.780240681
209	4.777831789
210	4.772986639
211	4.76886792
212	4.764524427
213	4.762400153
214	4.757154406
215	4.755265502
216	4.752737971
217	4.747195335
218	4.743715618
219	4.740069168
220	4.736427113
221	4.731952536
222	4.72890658
223	4.723219184
224	4.718985303
225	4.714764109
226	4.709024849
227	4.705825879
228	4.699689187
229	4.698292965
230	4.693471016
231	4.689774424
232	4.683792234
233	4.679955115
234	4.675695315
235	4.671725558
236	4.668016061
237	4.665157884
238	4.662439825
239	4.658524169
240	4.651471218
241	4.643940241
242	4.639670677
243	4.636608437
244	4.631012214
245	4.628129143
246	4.626418617
247	4.621626657
248	4.618208036
249	4.614507964
250	4.610320452
251	4.604847138
252	4.601209528
253	4.597206848
254	4.594786485
255	4.590805223
256	4.585096732
257	4.581615155
258	4.574438212
259	4.570492762
260	4.56422761
261	4.560360753
262	4.557420194
263	4.55480065
264	4.551710624
265	4.54649487
266	4.545592225
267	4.541542499
268	4.538042826
269	4.534996356
270	4.531962584
271	4.530023127
272	4.525911174
273	4.52439776
274	4.517566033
275	4.514750772
276	4.511134658
277	4.506063282
278	4.503847135
279	4.499958759
280	4.496384493
281	4.491087745
282	4.488942573
283	4.485889735
284	4.480480271
285	4.476569593
286	4.47237692
287	4.468386483
288	4.466941305
289	4.462204541
290	4.459215351
291	4.456930235
292	4.450685284
293	4.44733384
294	4.446222671
295	4.441815079
296	4.437595704
297	4.433477208
298	4.430750544
299	4.424591721
300	4.422793612
301	4.416586274
302	4.415909389
303	4.412635822
304	4.40818623
305	4.402316772
306	4.399226383
307	4.395820933
308	4.395408543
309	4.3903641
310	4.38996333
311	4.385501833
312	4.384368996
313	4.378831718
314	4.376745274
315	4.376051741
316	4.373069645
317	4.371389727
318	4.370682611
319	4.36589734
320	4.361289568
321	4.356729791
322	4.354611607
323	4.351497052
324	4.349198359
325	4.3473214
326	4.343634664
327	4.341473109
328	4.337371378
329	4.332496156
330	4.327537606
331	4.325173663
332	4.322822393
333	4.319721286
334	4.317040461
335	4.313332783
336	4.310220594
337	4.304911741
338	4.303875947
339	4.298148276
340	4.292980219
341	4.28962588
342	4.288648903
343	4.283408054
344	4.28002603
345	4.276745215
346	4.27006372
347	4.263986877
348	4.259773954
349	4.254898989
350	4.252522566
351	4.250297183
352	4.24978804
353	4.247147021
354	4.245243599
355	4.240137758
356	4.23763262
357	4.235579317
358	4.232494735
359	4.229566198
360	4.224413977
361	4.220387363
362	4.218018371
363	4.213089646
364	4.209693275
365	4.206935731
366	4.203854239
367	4.201688539
368	4.198766885
369	4.19643603
370	4.192032773
371	4.191369236
372	4.187681571
373	4.185871779
374	4.184205827
375	4.179598364
376	4.175678583
377	4.175033761
378	4.171645104
379	4.168821855
380	4.165115701
381	4.161114148
382	4.158889634
383	4.157578051
384	4.153965482
385	4.153851458
386	4.149823858
387	4.144004091
388	4.142239102
389	4.139042805
390	4.138477658
391	4.13604203
392	4.133197906
393	4.128929132
394	4.126333188
395	4.123896846
396	4.121907079
397	4.118789661
398	4.114664401
399	4.114377554
400	4.11073539
401	4.108743279
402	4.107286996
403	4.104796471
404	4.102258716
405	4.100870911
406	4.099742557
407	4.097318068
408	4.094168927
409	4.087251734
410	4.084835066
411	4.082772891
412	4.077583071
413	4.075342481
414	4.070640524
415	4.068670049
416	4.067294668
417	4.062008352
418	4.061006854
419	4.060454449
420	4.057077188
421	4.052067345
422	4.048696824
423	4.04581675
424	4.042398802
425	4.039582439
426	4.03758095
427	4.035310432
428	4.031923349
429	4.031192719
430	4.026430493
431	4.021194532
432	4.020675585
433	4.015675329
434	4.010900438
435	4.009361086
436	4.006902769
437	4.003950028
438	4.000049896
439	3.997900816
440	3.99325538
441	3.991696593
442	3.988800384
443	3.988220763
444	3.987724774
445	3.983964074
446	3.98345393
447	3.982501838
448	3.980631779
449	3.975790923
450	3.971720941
451	3.966742553
452	3.965311647
453	3.963643467
454	3.961978697
455	3.957154503
456	3.955125669
457	3.954485327
458	3.951243114
459	3.950454873
460	3.947284601
461	3.945393827
462	3.943338431
463	3.938286485
464	3.936557065
465	3.930768585
466	3.928545923
467	3.925336116
468	3.921835435
469	3.920537805
470	3.917470608
471	3.914652887
472	3.910580632
473	3.908759715
474	3.90681127
475	3.906293251
476	3.90441006
477	3.901273035
478	3.900875725
479	3.898524395
480	3.89618173
481	3.892020173
482	3.890072603
483	3.8883675
484	3.886040544
485	3.885548412
486	3.883318499
487	3.878554233
488	3.875067676
489	3.873083373
490	3.869908099
491	3.868751579
492	3.868294809
493	3.866562565
494	3.861458927
495	3.859828005
496	3.856639702
497	3.854843488
498	3.85129286
499	3.850847362
500	3.847355202
501	3.844221185
502	3.840355311
503	3.838322768
504	3.835678483
505	3.833547583
