iter	Passed	Remaining
0	129	128950
1	184	91973
2	186	61840
3	187	46766
4	189	37726
5	194	32173
6	196	27820
7	197	24545
8	199	21995
9	201	19948
10	203	18279
11	207	17079
12	209	15928
13	211	14901
14	213	14014
15	222	13689
16	225	13017
17	227	12389
18	230	11917
19	234	11471
20	235	10999
21	237	10569
22	239	10177
23	241	9815
24	243	9485
25	247	9254
26	250	9017
27	252	8752
28	255	8542
29	256	8305
30	264	8264
31	266	8064
32	268	7866
33	270	7675
34	271	7496
35	273	7334
36	279	7262
37	283	7168
38	284	7022
39	286	6885
40	288	6757
41	302	6890
42	303	6764
43	305	6642
44	315	6691
45	318	6596
46	326	6624
47	332	6598
48	334	6492
49	336	6391
50	340	6340
51	342	6251
52	344	6159
53	346	6070
54	348	5984
55	352	5934
56	355	5880
57	357	5801
58	358	5720
59	360	5644
60	362	5575
61	370	5606
62	372	5538
63	374	5481
64	376	5420
65	387	5477
66	391	5446
67	392	5383
68	402	5434
69	404	5380
70	406	5321
71	408	5264
72	415	5278
73	417	5222
74	419	5169
75	423	5149
76	436	5232
77	438	5182
78	449	5241
79	451	5190
80	454	5153
81	457	5117
82	464	5133
83	466	5089
84	468	5043
85	471	5006
86	479	5031
87	481	4994
88	484	4957
89	486	4917
90	512	5120
91	515	5086
92	517	5047
93	519	5004
94	521	4963
95	528	4976
96	530	4939
97	533	4907
98	534	4867
99	537	4833
100	545	4852
101	548	4830
102	558	4859
103	577	4974
104	579	4938
105	581	4902
106	584	4879
107	593	4901
108	594	4862
109	596	4823
110	597	4785
111	598	4747
112	600	4712
113	607	4720
114	608	4685
115	610	4652
116	611	4617
117	613	4583
118	614	4549
119	615	4516
120	617	4483
121	624	4492
122	625	4463
123	627	4432
124	629	4403
125	630	4373
126	631	4340
127	632	4311
128	637	4307
129	640	4285
130	641	4256
131	643	4228
132	644	4200
133	645	4173
134	647	4147
135	653	4151
136	654	4125
137	656	4099
138	657	4075
139	659	4053
140	661	4029
141	662	4001
142	663	3976
143	679	4041
144	691	4078
145	694	4061
146	696	4041
147	702	4046
148	704	4024
149	706	4005
150	708	3985
151	715	3989
152	716	3966
153	718	3944
154	719	3922
155	721	3900
156	722	3878
157	723	3856
158	729	3858
159	731	3841
160	733	3820
161	734	3799
162	735	3778
163	737	3761
164	739	3742
165	746	3751
166	748	3734
167	751	3720
168	752	3701
169	754	3682
170	755	3664
171	768	3698
172	770	3680
173	772	3664
174	781	3686
175	784	3670
176	785	3654
177	787	3638
178	792	3636
179	794	3620
180	796	3604
181	798	3587
182	799	3569
183	800	3551
184	802	3534
185	810	3546
186	811	3530
187	813	3513
188	815	3498
189	816	3481
190	817	3464
191	819	3447
192	824	3447
193	826	3432
194	827	3416
195	829	3403
196	831	3391
197	833	3376
198	834	3360
199	836	3346
200	838	3331
201	839	3316
202	844	3314
203	846	3301
204	847	3288
205	849	3274
206	851	3263
207	854	3253
208	860	3255
209	862	3243
210	864	3232
211	865	3218
212	867	3204
213	868	3191
214	870	3178
215	877	3183
216	878	3171
217	881	3160
218	882	3147
219	883	3134
220	888	3130
221	890	3119
222	891	3106
223	893	3093
224	895	3085
225	897	3074
226	899	3061
227	906	3068
228	908	3057
229	910	3047
230	911	3035
231	913	3024
232	915	3014
233	920	3013
234	922	3003
235	924	2991
236	925	2979
237	927	2968
238	929	2960
239	931	2950
240	938	2954
241	940	2944
242	941	2934
243	944	2925
244	946	2915
245	949	2910
246	952	2903
247	953	2892
248	955	2881
249	956	2870
250	960	2866
251	967	2870
252	969	2862
253	970	2851
254	972	2840
255	973	2829
256	975	2818
257	976	2808
258	986	2822
259	988	2813
260	990	2805
261	1000	2818
262	1002	2809
263	1004	2800
264	1005	2789
265	1007	2780
266	1009	2771
267	1014	2769
268	1015	2759
269	1017	2750
270	1018	2740
271	1020	2730
272	1021	2720
273	1023	2711
274	1024	2701
275	1030	2703
276	1032	2694
277	1033	2684
278	1035	2674
279	1036	2666
280	1038	2656
281	1039	2646
282	1040	2637
283	1045	2636
284	1047	2628
285	1049	2619
286	1051	2611
287	1052	2602
288	1055	2597
289	1062	2600
290	1064	2592
291	1066	2584
292	1067	2576
293	1069	2568
294	1071	2560
295	1072	2551
296	1078	2553
297	1080	2545
298	1082	2537
299	1084	2529
300	1085	2521
301	1087	2513
302	1094	2517
303	1096	2510
304	1098	2502
305	1100	2495
306	1101	2487
307	1103	2479
308	1109	2481
309	1111	2475
310	1113	2467
311	1115	2460
312	1117	2452
313	1119	2444
314	1124	2445
315	1126	2439
316	1130	2436
317	1132	2428
318	1134	2422
319	1141	2425
320	1143	2417
321	1145	2411
322	1148	2407
323	1150	2400
